episode,avg_reward,avg_exercises
1,0.73125,2.625
2,1.89375,2.375
3,2.23125,2.125
4,2.0812500000000003,2.125
5,2.23125,2.125
6,1.8687500000000001,1.875
7,2.1750000000000003,2.0
8,2.2062500000000003,2.625
9,2.3375,2.75
10,2.00625,1.875
11,2.23125,2.125
12,1.9875000000000003,2.0
13,1.8750000000000002,2.25
14,2.19375,2.125
15,2.0812500000000003,2.125
16,1.9000000000000001,2.5
17,2.0875000000000004,2.25
18,1.8375000000000004,2.0
19,1.8312500000000003,2.125
20,1.9375,2.25
21,1.8375000000000004,2.0
22,1.9625000000000004,2.5
23,1.4875000000000003,1.5
24,2.23125,2.125
25,1.4562500000000003,1.875
26,2.00625,2.375
27,2.15625,2.125
28,2.3500000000000005,2.5
29,2.1375,2.0
30,2.23125,2.125
31,2.0625000000000004,2.0
32,1.9250000000000003,2.0
33,1.9312500000000001,2.125
34,2.23125,2.125
35,1.9125000000000003,2.0
36,1.6500000000000004,1.5
37,1.45,2.25
38,2.23125,2.125
39,2.1812500000000004,2.125
40,1.4125000000000003,1.75
41,1.8875000000000002,2.0
42,2.23125,2.125
43,1.7125000000000004,1.75
44,2.1812500000000004,2.125
45,1.7687500000000005,2.125
46,2.10625,1.875
47,2.10625,1.875
48,2.0625,2.25
49,2.23125,2.125
50,1.8812500000000003,2.125
